"混合 (夹杂)";"to mix together/blend (mixed together/intermingled)"
"混乱";"confusion/chaos/disorder"
"混淆 (困惑)";"to confuse/confused (confusion)"
"混浊 (肮脏)";"muddy/turbid (dirty/filthy)"
"活该";"You/It deserve(s) it"
"活力 (精力) (体力/脑力)";"energy/vitality (stamina/mental power)"
"火箭";"rocket"
"火焰";"flame/blaze"
"火药";"gunpowder"
"货币";"currency/money"
"基地 (本部)";"base (eg military base) (headquarters/head office)"
"基金 (资本/资金/成本)";"fund/capital"
"基因";"gene (DNA)"
"机动 (机动性)";"motorized/locomotive (flexibility)"
"机构 (组织) (机制)";"organization/agency (mechanism)"
"机灵";"wise/clever/quick-witted"
"机密 (奥秘/秘密/隐秘)";"secret"
"机械 (机器)";"machine (machine/robot)"
"机遇 (机会)";"opportunity"
"机智";"tactful/resourceful"
"激发 (爱国心)";"to arouse/excite (patriotism)"
"激励 (鼓励/勉励)";"to encourage"
"激情";"passion"
"饥饿";"hunger"
"讥笑";"to sneer/ridicule"
