"淡季 (旺季)";"low season/slow business season (mainly 7-9月)(vs 10-12月)"
"淡水(清水)";"fresh water"
"蛋白质 (维他命/维生素)";"protein (vitamin)"
"诞辰 (生日)";"birthday"
"诞生(地)(出生)";"be born"
"当场 (现场)";"on the spot/at the scene"
"当初 (当年)";"at that time/at the beginning/original"
"当代 (现代)(近代)";"the present age"
"当面";"face to face/to sb's face/in sb's presence"
"当前 (目前)";"current/present/today's"
"当事人";"persons involved/party (to an affair)/client"
"当务之急";"top priority job"
"当选";"to be elected"
"党 (政党/党员)(共产党)";"political party (communist party)"
"档案(馆)";"archives"
"档次";"grade/quality/level"
"倒闭 (破产)";" to go bankrupt/to close down"
"导弹 (核导弹)";"missile"
"导航(仪)";"navigate/navigation"
"(以...为)导向";"...-oriented/to be oriented towards"
"捣乱 (打扰/扰乱)";"to look for trouble/bother sb intentionally"
"稻谷 (稻米/稻麦)";"unhusked rice/コメ"
"盗窃 (偷盗/偷窃)(扒窃/扒手)";"to steal/pilfer"
"得不偿失";"the gains do not compensate for the losses"
"得力 (才干)";"competent/effective"
