"掰开(掰掰)";"pull apart/break open with hands"
"摆脱(解脱)";"break out off/free oneself from(free oneself from wordly worries)"
"拜访(访问)";"to visit/to pay a visit/call on"
"拜年";"to wish sb a Happy New Year"
"拜托";"to request to do sth/please"
"败坏(腐败)";"to ruin/corrupt"
"斑点(斑纹)(耀斑)";"speckle/spot"
"颁布";"to issue/enact (law, decrees etc)"
"颁发";"to issue/award (a passport/cert/medals etc)"
"版本";"version/edition/release"
"半途而废";"give up halfway"
"(终身)伴侣(伙伴)";"(life) partner/mate"
"伴随";"to accompany/occur together with"
"扮演(反面人物)";"to play the role"
"绑架";"to kidnap"
"(好)榜样";"role model/example"
"磅(英磅)";"pound (weight/money)"
"包庇(袒护)";"to shield/cover up [to shield (a miscreant) from punishment, criticism etc/to take sb's side]"
"包袱(负担)";"(wrapping cloth) burden/load"
"包围（围住)(无路可逃)";"to surround/encircle"
"包装(包裹)";"to pack/to package/wrap"
"(不)饱和";"saturated (holding as much water as it can)"
"(一生)饱经沧桑";"have seen much of the changes in human life"
"保管";"to keep safe/to have in one's care"
"保密";" to keep sth confidential/maintain secrecy"
